nom,email,secteur,statut
MonTest1,kawaelgato@gmail.com,Commerce,en_attente
MonTest2,kawaelgato@gmail.com,Tech_Numerique,en_attente
MonTest3,kawaelgato@gmail.com,Commerce,en_attente
Test Entreprise 1,test1@domaine.com,Tech_Numerique,en_attente
Test Entreprise 2,test2@domaine.com,Commerce,en_attente
SVD-GESTION,contact@svd-gestion.com,Tech_Numerique,en_attente
Aplim,contact@aplim.fr,Tech_Numerique,en_attente
La ligne ROUGE,hello@rougerouge.fr,Tech_Numerique,en_attente
KWIXEO,contact@kwixeo.fr,Tech_Numerique,en_attente
I M Media,contact@im-media.fr,Tech_Numerique,en_attente
Idl Data,infos@idl-data.com,Tech_Numerique,en_attente
Kavalog,contact@aexae.fr,Tech_Numerique,en_attente
CURATOR STUDiO,contact@curatorstudio.com,Tech_Numerique,en_attente
Charonne Buro,contact@charonneburo.com,Tech_Numerique,en_attente
QPM,contact@qpm-pro.com,Tech_Numerique,en_attente
Free2move Paris,press@free2move.com,Tech_Numerique,en_attente
Doctor-Responsive,contact@doctor-responsive.fr,Tech_Numerique,en_attente
DATA LEAD,hfedji@data-lead.fr,Tech_Numerique,en_attente
Chèque intermittents,contact@cheque-intermittents.com,Tech_Numerique,en_attente
Mapaye,contact@mapaye.fr,Tech_Numerique,en_attente
VJ Consult,info@vjconsult.net,Tech_Numerique,en_attente
GROUPE RECCI,ctondini@recci.fr,Tech_Numerique,en_attente
Atriom,atriom@atriom.fr,Tech_Numerique,en_attente
Epicom,andria@epicom.fr,Tech_Numerique,en_attente
ARIUM CONSULTING,accueil@arium.fr,Tech_Numerique,en_attente
PHONE 94,info@phone94.com,Tech_Numerique,en_attente
Lulu dans ma rue,contact@luludansmarue.org,Tech_Numerique,en_attente
